표준ID,ARS-ID,정류장명,위도,경도,비고
100000124,1220,혜화역.마로니에공원,37.58111949,127.0022769,
100000125,1221,혜화역.서울대병원입구,37.58106363,127.0019395,
100000126,1222,통신대(이화장),37.57812967,127.0019938,
100000127,1223,이화동(이화장),37.57611936,127.0006951,
100000128,1224,창경궁.서울대학교병원,37.57882799,126.9968717,
100000129,1225,이화동(이화장),37.57593729,127.0032708,
100000130,1226,혜화동로터리,37.58576463,127.0007247,
100000131,1227,명륜동2가.성균관대입구,37.58333349,126.9993988,
100000132,1228,혜화역.서울연극센터(장면총리가옥),37.58402281,127.0013282,
100000133,1229,혜화역.동성중고(장면총리가옥),37.58456977,127.0017177,
100000135,1231,종로구민회관.창신동두산아파트,37.57409268,127.0155555,
100000139,1235,동묘역앞,37.57168496,127.0156014,
100000140,1236,동묘역앞,37.57189848,127.0158879,
101000307,1237,청계2가교차로,37.5684809,126.9878779,
100000142,1238,창신3동주민센터,37.578413,127.015178,
100000143,1239,숭인1동주민센터,37.57877205,127.0155486,
100000144,1240,동묘역.롯데캐슬천지인,37.57418005,127.0158024,
100000147,1243,신설동로터리,37.57592883,127.0227802,
100000364,1245,동묘앞,37.57372922,127.0178163,
100000150,1246,구기동현대빌라,37.609682,126.956622,
100000151,1247,광장시장,37.56949631,126.9977438,
100000153,1249,혜화경찰서,37.57258074,126.9974788,
100000154,1250,서울역사박물관.김구집무실(경교장),37.56990034,126.9721318,
100000155,1251,청계3가.관수교,37.56868879,126.9937794,
100000156,1252,청계6가.버들다리,37.56993039,127.0080377,
100000157,1253,청계7가.맑은내다리,37.56999753,127.0129554,
100000158,1254,청계8가.영도교,37.57094659,127.0182311,
100000159,1256,원남동사거리,37.57572287,126.9982147,
100000165,1262,숭인동,37.57427215,127.0204373,
100000169,1267,조계사,37.57280034,126.9831609,
100000174,1272,세종문화회관,37.57333352,126.9763658,
100000179,1277,이화동(이화장),37.576257,127.002955,
100000180,1278,상명대정문,37.60161972,126.9550207,
100000181,1279,이북오도청,37.61305032,126.9558883,
100000188,1286,상명대입구.세검정교회,37.59944351,126.9597922,
100000189,1287,상명대입구.석파랑,37.59957181,126.9581941,
100000190,1288,종로중부새마을금고,37.57241749,127.0065911,
100000191,1289,신설동로터리.신한은행앞.서울풍물시장,37.5743861,127.0231183,
100000192,1291,청계2가.삼일교,37.56844587,126.9872214,
100000193,1292,청계8가.황학교,37.57213073,127.022787,
100000355,1293,평창동삼성아파트,37.610967,126.978368,
100000370,1294,안국역.종로경찰서.인사동,37.57633293,126.9855365,
100000369,1295,안국역.종로경찰서.인사동,37.57640118,126.9847683,
100000371,1296,창덕궁,37.57722809,126.9890031,
100000413,1297,남인사마당,37.57131917,126.9874286,
100900047,1500,평창파출소,37.60568122,126.9668167,
100900178,1501,삼청공원,37.58822768,126.9816469,
100900041,1502,수성동계곡,37.58207916,126.9642468,
100900040,1503,명륜3가종점,37.59094838,126.9928637,
100900197,1504,명륜새마을금고,37.58765327,126.9967049,
100900044,1505,서대문3번출구,37.56641607,126.9662183,
100900039,1506,낙산공원,37.58040372,127.0087216,
100900037,1507,인사미술공간.세탁소,37.58141098,126.9893671,
100900036,1508,평화동물병원,37.6048012,126.9648837,
100900035,1509,금융연수원,37.5865985,126.9815692,
100900034,1510,박노수미술관,37.58099674,126.9666035,
100900032,1511,샘미용실,37.59030953,126.9932227,
100900031,1512,서울국제고등학교,37.58907159,126.9972903,
100900029,1513,평화동물병원,37.60498061,126.9652008,
100900188,1514,적십자병원후문앞,37.56752954,126.9652273,
100900202,1515,서울성곽.성대후문,37.5892577,126.9896321,
100900026,1516,빨래터.고희동미술관,37.58310083,126.9889728,
100900025,1517,세검초등학교,37.60425228,126.9614908,
100900024,1518,삼청동주민센터,37.58426383,126.9819072,
100900020,1519,통인시장,37.58045307,126.9687504,
100900021,1520,양현관,37.58979142,126.9936044,
100900017,1521,국민생활관,37.58974563,126.998862,
100900016,1522,오거리,37.60706212,126.9622629,
100900015,1523,경희궁자이2.3단지,37.56878711,126.9640686,
100900013,1524,창신쌍용2단지.한성대후문,37.5812648,127.0127581,
100900045,1525,통일부,37.58759481,126.9859477,
100900011,1526,원서고개,37.58308055,126.9878088,
100900009,1528,종로5가입구.혜화경찰서,37.57174724,126.9975411,
100900007,1529,삼청파출소,37.58181366,126.981251,
100900005,1530,오거리.한옥마을입구,37.57949632,126.9695411,
100900046,1531,명륜시장.성대후문,37.58851105,126.9952543,
100900003,1532,혜화초등학교,37.58725323,126.9998517,
100900072,1533,청련사입구,37.60798038,126.9624312,
100900071,1534,영천시장,37.57000501,126.9628352,
100900070,1535,명신초.삼선푸르지오.힐스테이트,37.58210621,127.0145563,
100900069,1536,감사원,37.58621065,126.9852901,
100900068,1537,중앙중고,37.58309218,126.9869653,
100900067,1538,인왕빌딩,37.60792833,126.9577443,
100900066,1539,종로4가.종묘공원,37.57063281,126.9944624,
100900174,1540,국립민속박물관,37.57925518,126.9795534,
100900065,1541,광화문새마을금고,37.57936877,126.9711466,
100900064,1542,새마을금고,37.58773706,126.9965181,
100900063,1543,혜화우체국,37.58603766,127.0006137,
100900062,1544,언덕앞,37.60895398,126.9637922,
100900061,1545,경희궁자이4단지,37.57070222,126.9621148,
100900060,1546,종로센트레빌후문.e편한세상보문아파트,37.58177439,127.0161855,
100900059,1547,사우디대사관앞.경남빌라,37.58410567,126.9850312,
100900058,1548,안국선원.삼거리,37.58279098,126.9849941,
100900182,1549,구기터널입구,37.60820461,126.9567769,
100900057,1550,종로3가.1.3.5호선,37.57107299,126.9921807,
100900056,1551,경복궁,37.57695016,126.9793378,
100900055,1552,경복궁역,37.57667748,126.9722765,
100900054,1553,소나무집,37.61127707,126.9641105,
100900186,1554,독립문역3번출구,37.57287848,126.9597453,
100900053,1555,청룡사.보문파크뷰자이아파트,37.58001895,127.0170071,
100900052,1556,북촌한옥마을입구.정세권활동터,37.58159973,126.9849422,
100900217,1557,종로1.2.3.4가동주민센터,37.57438371,126.9911314,
100900051,1558,창덕궁,37.57608925,126.99062,
100900050,1561,아름다운실버,37.61201006,126.9654637,
100900049,1562,독립문초등학교,37.57384748,126.9607207,
100900206,1563,종로센트레빌아파트,37.58035344,127.0156927,
100900048,1564,가회동주민센터,37.57993901,126.9848497,
100900097,1565,문방구,37.60626861,126.9579797,
100900096,1566,원남로터리,37.57623737,126.9975115,
100900095,1567,보현산신각,37.61348252,126.9657791,
100900094,1568,천사유치원,37.57464802,126.9618604,
100900093,1569,쌍용아파트입구.창신역,37.58051123,127.0149636,
100900092,1570,아름다운가게.정독도서관,37.57889917,126.985022,
100900091,1571,산정빌라,37.60515199,126.9574922,
100900090,1572,이화사거리,37.57646986,127.0020107,
100900089,1573,혜원사,37.61431026,126.9676873,
100900088,1574,무악현대아파트후문,37.57630608,126.962001,
100900086,1576,헌법재판소.안국역,37.57755843,126.9856756,
100900184,1577,청구빌라,37.60461026,126.956984,
100900085,1578,서울대어린이병원응급실.갑상선센터,37.57811888,126.999503,
100900083,1580,화인빌라,37.61293453,126.9685386,
100900082,1581,넓은마당,37.57527281,126.962888,
100900207,1582,창신초등학교,37.5769032,127.0153886,
100900081,1583,수운회관,37.57515983,126.9865172,
100900080,1584,상명대후문,37.60402558,126.9573354,
100900079,1586,힐탑,37.61160556,126.9690206,
100900187,1587,신학대학교총회본부,37.57397631,126.9634446,
100900078,1589,낙원상가,37.57367762,126.9872919,
100900077,1590,완성빌라,37.60340209,126.9575011,
100900076,1591,서울대병원장례식장,37.5805554,126.997431,
100900075,1592,혜화역1번출구,37.58345422,127.0019407,
100900074,1593,파라과이대사관,37.61240596,126.9699479,
100900073,1594,한국사회과학자료원,37.57363321,126.9641433,
100900205,1595,동묘역,37.57269435,127.0142454,
100900121,1596,금강제화,37.57054454,126.9874384,
100900120,1597,경진빌라,37.60200372,126.9578304,
100900198,1598,성균관대학교앞,37.58330826,126.9993659,
