순번,상태,험프관리번호,고가,유형,구경찰서코드,구코드,신경찰서코드,작업구분,표출구분,도로구분,관할사업소,신규정규화ID,설치일,교체일,이력ID,공사관리번호,험프관리번호,공사형태,위도,경도
4682,1,16-0000001813,1,1,220,590,220,3,2,2,105,'','','',3763,5,16-001813,5,37.5334277,127.1198311
3919,1,16-0000002947,1,1,220,590,220,1,2,2,105,'','','',2950,2000-0000-000,16-002947,'',37.5038975,127.0371084
4402,1,16-0000002956,1,1,220,590,220,1,2,2,105,'','','',3518,2000-0000-000,16-002956,'',37.5781554,126.9372632
4902,1,16-0000005073,1,2,220,590,220,1,2,2,105,'','','',3691,2000-0000-000,16-005073,'',37.5141551,127.1159681
3895,1,16-0000001496,1,1,220,590,220,1,2,2,105,'','','',4048,2000-0000-000,16-001496,'',37.6016629,126.9984371
4466,1,16-0000002959,1,1,220,590,220,1,2,2,105,'','','',3519,2000-0000-000,16-002959,'',37.5758467,126.9295369
4952,1,16-0000006868,1,1,220,590,220,1,2,2,105,'','','',3652,4,16-006868,4,37.5018109,127.1344293
4953,1,16-0000007555,1,2,220,590,220,1,2,2,105,'','','',3654,2000-0000-000,16-007555,'',37.5030122,127.1337056
4954,1,16-0000006867,1,1,220,590,220,1,2,2,105,'','','',3655,4,16-006867,4,37.5092996,127.1310618
4502,1,16-0000006713,1,1,220,590,220,3,2,2,105,'','','',3548,1,16-006713,1,37.510559,126.9451237
4503,1,16-0000002730,1,1,220,590,220,1,2,2,105,'','','',3556,2000-0000-000,16-002730,'',37.5065518,126.9146855
4488,1,16-0000004872,1,2,380,590,220,1,2,2,105,'','','',1356,2000-0000-000,16-004872,'',37.5645183,126.911708
4496,1,16-0000002576,2,2,220,590,220,1,2,2,105,'','','',5015,2000-0000-000,16-002576,'',37.6335215,126.9167715
4510,1,16-0000008276,1,1,220,590,220,1,2,2,105,'','','',6265,10,16-008276,10,37.6023927,127.1021689
4516,1,16-0000006010,1,2,220,590,220,1,2,2,105,'','','',5480,2005-0108-160,16-006010,1,37.4797454,127.0571748
4339,1,16-0000004052,1,2,380,590,220,1,2,2,105,'','','',3552,2000-0000-000,16-004052,'',37.5060161,126.9472369
4340,1,16-0000002948,1,1,220,590,220,1,2,2,105,'','','',3985,2000-0000-000,16-002948,'',37.6198665,127.0675059
4348,1,16-0000006061,1,2,220,590,220,1,2,2,105,'','','',3553,2006-1108-042,16-006061,5,37.5350908,127.1334117
4034,1,16-0000001535,1,1,220,590,220,1,2,2,105,'','','',3794,2000-0000-000,16-001535,'',37.5642232,126.8057348
4564,1,16-0000005950,1,2,220,590,220,1,2,2,105,'','','',3292,2004-1108-408,16-005950,1,37.5670414,126.9085966
4371,1,16-0000004050,1,2,380,590,220,1,2,2,105,'','','',4555,2000-0000-000,16-004050,'',37.5470621,126.823593
5050,1,16-0000002953,1,1,220,590,220,1,2,2,105,'','','',5127,2000-0000-000,16-002953,'',37.5373334,127.1375297
3769,1,16-0000002957,1,1,220,590,220,1,2,2,105,'','','',795,2000-0000-000,16-002957,'',37.4885848,126.9766989
3771,1,16-0000004054,1,2,380,590,220,1,2,2,105,'','','',804,2000-0000-000,16-004054,'',37.6063356,126.9090173
3104,1,16-0000002954,1,1,220,590,220,1,2,2,105,'','','',774,2000-0000-000,16-002954,'',37.5575628,126.9315962
3105,1,16-0000004871,1,2,380,590,220,1,2,2,105,'','','',393,2000-0000-000,16-004871,'',37.6119828,126.914826
3119,1,16-0000004059,1,2,380,590,220,1,2,2,105,'','','',806,2000-0000-000,16-004059,'',37.6220267,127.0677494
3818,1,16-0000004874,1,2,380,590,220,1,2,2,105,'','','',1607,2000-0000-000,16-004874,'',37.5036811,127.0670781
3819,1,16-0000002950,1,1,220,590,220,1,2,2,105,'','','',2158,2000-0000-000,16-002950,'',37.633903,126.9152793
2818,1,16-0000000618,1,1,220,590,220,1,2,1,105,'','','',604,2000-0000-000,16-000618,'',37.4992717,127.1045514
3190,1,16-0000004689,1,2,220,590,220,1,2,2,105,'','','',1840,2000-0000-000,16-004689,'',37.5481505,126.9145093
3200,1,16-0000004060,1,2,220,590,220,1,2,2,105,3152822,'','',2642,2000-0000-000,16-004060,'',37.5148518,127.0106926
3504,1,16-0000004629,1,2,380,590,220,1,2,2,105,'','','',383,2000-0000-000,16-004629,'',37.4910752,126.9739546
2907,1,16-0000002958,1,1,220,590,220,1,2,2,105,'','','',1484,2000-0000-000,16-002958,'',37.529508,127.032392
2908,1,16-0000002984,1,1,220,590,220,1,2,2,105,'','','',1485,2000-0000-000,16-002984,'',37.528602,127.0299565
2660,1,16-0000004632,1,2,380,590,220,1,2,2,105,'','','',1089,2000-0000-000,16-004632,'',37.6290175,127.0593094
2666,1,16-0000004877,1,2,380,590,220,1,2,2,105,'','','',904,2000-0000-000,16-004877,'',37.509739,127.0028434
3667,1,16-0000009604,1,2,220,590,220,1,2,2,105,'','','',10791,2000-0000-000,16-009604,'',37.6023889,126.9152232
3677,1,16-0000002931,1,1,220,590,220,1,2,2,105,'','','',1722,2000-0000-000,16-002931,'',37.4815035,127.078978
