순번,상태,험프관리번호,고가,유형,구경찰서코드,구코드,신경찰서코드,작업구분,표출구분,도로구분,관할사업소,신규정규화ID,설치일,교체일,이력ID,공사관리번호,험프관리번호,공사형태,위도,경도
9193,1,16-0000008368,1,2,220,590,220,1,2,2,105,'','','',11712,4,16-008368,4,37.4953742,126.9293554
9219,1,16-0000008387,1,2,220,590,220,1,2,2,105,'','','',10941,2000-0000-000,16-008387,'',37.4501431,126.9071592
7879,1,16-0000007890,1,1,380,590,220,3,2,2,105,'','','',11105,1,16-007890,1,37.5285566,126.9087151
7884,1,16-0000006865,1,1,220,590,220,1,2,2,105,'','','',6481,4,16-006865,4,37.5183478,126.933169
7905,1,16-0000002965,1,1,220,590,220,3,2,2,105,'','','',7194,5,16-002965,5,37.5678818,127.0523382
8598,1,16-0000002068,1,1,220,590,220,1,2,2,105,'','','',9034,5,16-002068,5,37.6483761,127.0771462
8280,1,16-0000004409,1,2,380,590,220,1,2,2,105,'','','',7007,2000-0000-000,16-004409,'',37.6241568,127.0893908
8288,1,16-0000008926,1,2,220,590,220,1,2,2,105,'','','',16205,1,16-008926,1,37.5064102,126.9625813
8630,1,16-0000006017,1,2,380,590,220,1,2,2,105,'','','',8605,2005-0108-179,16-006017,1,37.5464439,126.8652056
8968,1,16-0000008887,1,2,380,590,220,1,2,2,105,'','','',10371,1,16-008887,'',37.5494206,126.952471
8969,1,16-0000008889,1,2,380,590,220,1,2,2,105,'','','',10373,1,16-008889,'',37.5499177,126.9541362
8312,1,16-0000005949,1,2,220,590,220,1,2,2,105,'','','',3293,2004-1108-408,16-005949,1,37.5537147,126.9242881
8642,1,16-0000004870,1,2,380,590,220,1,2,2,105,'','','',7807,2000-0000-000,16-004870,'',37.5869901,127.0293359
9024,1,16-0000007891,1,1,380,590,220,1,2,2,105,'','','',11106,5,16-007891,5,37.5283525,126.9087943
8055,1,16-0000010860,1,2,220,590,220,1,2,1,105,'','','',13988,2000-0000-000,16-010860,'',37.5148629,126.9518708
9061,1,16-0000002725,1,1,220,590,220,1,2,2,105,'','','',11986,2000-0000-000,16-002725,'',37.523263,127.0470828
8016,1,16-0000004860,1,2,220,590,220,1,2,2,105,'','','',2763,2000-0000-000,16-004860,'',37.5584588,126.9319084
8736,1,16-0000010366,1,2,220,590,220,1,2,2,105,'','','',13197,2000-0000-000,16-010366,'',37.4977202,126.9593204
9082,1,16-0000007879,1,1,220,590,220,1,2,2,105,'','','',9948,5,16-007879,5,37.5388067,126.88285
