사고지역관리번호,사고년도,사고유형구분,위치코드,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,위도,경도,사고다발지역폴리곤정보,데이터기준일자,UTM-K_위도변환,UTM-K_경도변환
2019066,2018,무단횡단,111911003,서울 서울동작3,서울특별시 동작구 신대방동(보라매현대아파트 부근),4,4,0,2,2,0,37.4926602,126.9236481,"{type:Polygon,coordinates:[[[126.92634303,37.4926602],[126.92629124,37.49224305],[126.92613789,37.49184192],[126.92588885,37.49147224],[126.92555369,37.49114821],[126.92514531,37.49088228],[126.92467939,37.49068468],[126.92417384,37.490563],[126.92364808,37.49052191],[126.92312232,37.490563],[126.92261677,37.49068468],[126.92215085,37.49088228],[126.92174247,37.49114821],[126.92140731,37.49147224],[126.92115827,37.49184192],[126.92100492,37.49224305],[126.92095313,37.4926602],[126.92100492,37.49307735],[126.92115827,37.49347847],[126.92140731,37.49384814],[126.92174247,37.49417216],[126.92215085,37.49443807],[126.92261677,37.49463566],[126.92312232,37.49475734],[126.92364808,37.49479842],[126.92417384,37.49475734],[126.92467939,37.49463566],[126.92514531,37.49443807],[126.92555369,37.49417216],[126.92588885,37.49384814],[126.92613789,37.49347847],[126.92629124,37.49307735],[126.92634303,37.4926602]]]}",2019-10-10,543692.2396443515,193247.88801690203
2018045,2017,무단횡단,113311002,서울 서울방배2,서울특별시 동작구 사당동(총신대입구역 부근),7,7,0,3,4,0,37.48799762,126.9823472,"{type:Polygon,coordinates:[[[126.98504216,37.48799762],[126.98499037,37.48758044],[126.98483701,37.48717929],[126.98458797,37.48680958],[126.98425282,37.48648554],[126.98384444,37.48621959],[126.98337852,37.48602198],[126.98287297,37.48590029],[126.98234721,37.4858592],[126.98182145,37.48590029],[126.9813159,37.48602198],[126.98084998,37.48621959],[126.98044159,37.48648554],[126.98010644,37.48680958],[126.9798574,37.48717929],[126.97970405,37.48758044],[126.97965226,37.48799762],[126.97970405,37.4884148],[126.9798574,37.48881594],[126.98010644,37.48918563],[126.98044159,37.48950967],[126.98084998,37.4897756],[126.9813159,37.48997321],[126.98182145,37.49009489],[126.98234721,37.49013598],[126.98287297,37.49009489],[126.98337852,37.48997321],[126.98384444,37.4897756],[126.98425282,37.48950967],[126.98458797,37.48918563],[126.98483701,37.48881594],[126.98499037,37.4884148],[126.98504216,37.48799762]]]}",2019-10-10,543172.1626213776,198438.79349843724
2016146,2015,보행노인,11590001,서울특별시 동작구1,서울특별시 동작구 대방동(상도3동주민센터 부근),7,10,0,8,1,1,37.50005749,126.93068570000001,"{type:Polygon,coordinates:[[[126.93248234,37.50005749],[126.93244782,37.49977942],[126.93234558,37.49951203],[126.93217955,37.4992656],[126.93195612,37.4990496],[126.93168387,37.49887234],[126.93137325,37.49874062],[126.93103622,37.49865951],[126.93068571,37.49863212],[126.93033521,37.49865951],[126.92999817,37.49874062],[126.92968756,37.49887234],[126.9294153,37.4990496],[126.92919187,37.4992656],[126.92902584,37.49951203],[126.9289236,37.49977942],[126.92888908,37.50005749],[126.9289236,37.50033557],[126.92902584,37.50060295],[126.92919187,37.50084938],[126.9294153,37.50106537],[126.92968756,37.50124263],[126.92999817,37.50137434],[126.93033521,37.50145545],[126.93068571,37.50148284],[126.93103622,37.50145545],[126.93137325,37.50137434],[126.93168387,37.50124263],[126.93195612,37.50106537],[126.93217955,37.50084938],[126.93234558,37.50060295],[126.93244782,37.50033557],[126.93248234,37.50005749]]]}",2019-10-10,544512.7610589518,193870.85654509065
2019035,2018,보행어린이,11590001,서울특별시 동작구1,서울특별시 동작구 대방동(참새어린이공원 부근),3,3,0,2,0,1,37.4984346,126.9212853,"{type:Polygon,coordinates:[[[126.92308197,37.4984346],[126.92304745,37.49815652],[126.92294521,37.49788912],[126.92277918,37.49764269],[126.92255575,37.49742669],[126.92228349,37.49724942],[126.92197288,37.4971177],[126.92163584,37.49703658],[126.92128534,37.49700919],[126.92093483,37.49703658],[126.9205978,37.4971177],[126.92028718,37.49724942],[126.92001493,37.49742669],[126.91979149,37.49764269],[126.91962547,37.49788912],[126.91952323,37.49815652],[126.91948871,37.4984346],[126.91952323,37.49871268],[126.91962547,37.49898007],[126.91979149,37.4992265],[126.92001493,37.4994425],[126.92028718,37.49961976],[126.9205978,37.49975148],[126.92093483,37.49983259],[126.92128534,37.49985998],[126.92163584,37.49983259],[126.92197288,37.49975148],[126.92228349,37.49961976],[126.92255575,37.4994425],[126.92277918,37.4992265],[126.92294521,37.49898007],[126.92304745,37.49871268],[126.92308197,37.4984346]]]}",2019-10-10,544333.2949658805,193039.47181763742
2014109,2013,자전거,11590001,서울특별시 동작구1,서울특별시 동작구 본동(노들길-한강로램프(1) 부근),6,8,0,5,3,0,37.51420335,126.95563700000001,"{type:Polygon,coordinates:[[[126.9572367,37.5154776],[126.9568939,37.5157017],[126.9565027,37.5158682],[126.9560784,37.5159707],[126.955637,37.5160054],[126.9551957,37.5159707],[126.9547713,37.5158682],[126.9543802,37.5157017],[126.9540374,37.5154776],[126.953756,37.5152045],[126.953547,37.5148929],[126.9534183,37.5145549],[126.9533748,37.5142033],[126.9534183,37.5138518],[126.953547,37.5135137],[126.9537561,37.5132022],[126.9540374,37.5129291],[126.9543802,37.512705],[126.9547713,37.5125385],[126.9551957,37.512436],[126.955637,37.5124013],[126.9560783,37.512436],[126.9565027,37.5125385],[126.9568938,37.512705],[126.9572366,37.5129291],[126.957518,37.5132022],[126.957727,37.5135137],[126.9578558,37.5138518],[126.9578992,37.5142033],[126.9578558,37.5145549],[126.9577271,37.5148929],[126.957518,37.5152045],[126.9572367,37.5154776]]]}",2019-10-10,546081.4377516664,196077.92507364304
2015046,2014,자전거,11590001,서울특별시 동작구1,서울특별시 동작구 본동(노량진북고가차도(남측) 부근),9,9,0,3,5,1,37.51431502,126.95486640000001,"{type:Polygon,coordinates:[[[126.956466,37.5155892],[126.9561232,37.5158133],[126.9557321,37.5159799],[126.9553077,37.5160824],[126.9548664,37.516117],[126.954425,37.5160824],[126.9540006,37.5159799],[126.9536095,37.5158133],[126.9532667,37.5155892],[126.9529854,37.5153161],[126.9527763,37.5150046],[126.9526476,37.5146666],[126.9526041,37.514315],[126.9526476,37.5139634],[126.9527764,37.5136254],[126.9529854,37.5133139],[126.9532668,37.5130408],[126.9536096,37.5128167],[126.9540007,37.5126502],[126.954425,37.5125476],[126.9548664,37.512513],[126.9553077,37.5125476],[126.9557321,37.5126502],[126.9561232,37.5128167],[126.956466,37.5130408],[126.9567473,37.5133139],[126.9569564,37.5136254],[126.9570851,37.5139634],[126.9571286,37.514315],[126.9570851,37.5146666],[126.9569564,37.5150046],[126.9567474,37.5153161],[126.956466,37.5155892]]]}",2019-10-10,546093.864106579,196009.80327512164
2016147,2015,자전거,11590001,서울특별시 동작구1,서울특별시 동작구 본동(한강대교남단사거리 부근),9,9,0,5,1,3,37.51396035,126.95524679999998,"{type:Polygon,coordinates:[[[126.95704341,37.51396035],[126.95700888,37.51368233],[126.95690665,37.51341499],[126.95674062,37.51316861],[126.95651718,37.51295265],[126.95624493,37.51277542],[126.95593432,37.51264373],[126.95559728,37.51256263],[126.95524678,37.51253524],[126.95489627,37.51256263],[126.95455923,37.51264373],[126.95424862,37.51277542],[126.95397637,37.51295265],[126.95375293,37.51316861],[126.95358691,37.51341499],[126.95348467,37.51368233],[126.95345014,37.51396035],[126.95348467,37.51423838],[126.95358691,37.51450571],[126.95375293,37.51475209],[126.95397637,37.51496804],[126.95424862,37.51514527],[126.95455923,37.51527696],[126.95489627,37.51535806],[126.95524678,37.51538544],[126.95559728,37.51535806],[126.95593432,37.51527696],[126.95624493,37.51514527],[126.95651718,37.51496804],[126.95674062,37.51475209],[126.95690665,37.51450571],[126.95700888,37.51423838],[126.95704341,37.51396035]]]}",2019-10-10,546054.4841721877,196043.4151708669
2013098,2012,보행노인,11590001,서울특별시 동작구1,서울특별시 동작구 사당동(남성역 부근),3,3,1,1,1,0,37.48509275,126.9705886,"{type:Polygon,coordinates:[[[126.9721876,37.486367],[126.9718449,37.4865911],[126.971454,37.4867576],[126.9710297,37.4868601],[126.9705886,37.4868948],[126.9701474,37.4868601],[126.9697232,37.4867576],[126.9693322,37.4865911],[126.9689895,37.486367],[126.9687083,37.4860939],[126.9684993,37.4857823],[126.9683707,37.4854443],[126.9683272,37.4850927],[126.9683707,37.4847412],[126.9684994,37.4844031],[126.9687084,37.4840916],[126.9689896,37.4838185],[126.9693323,37.4835944],[126.9697232,37.4834279],[126.9701474,37.4833254],[126.9705886,37.4832907],[126.9710297,37.4833254],[126.9714539,37.4834279],[126.9718449,37.4835944],[126.9721876,37.4838185],[126.9724688,37.4840916],[126.9726778,37.4844031],[126.9728064,37.4847412],[126.9728499,37.4850927],[126.9728065,37.4854443],[126.9726778,37.4857823],[126.9724688,37.4860939],[126.9721876,37.486367]]]}",2019-10-10,542850.0203704723,197398.76692733407
2014105,2013,보행노인,11590001,서울특별시 동작구1,서울특별시 동작구 사당동(사당고가차도(서측) 부근),6,7,0,6,1,0,37.47648961,126.9794737,"{type:Polygon,coordinates:[[[126.9810725,37.4777638],[126.9807299,37.4779879],[126.9803389,37.4781545],[126.9799148,37.478257],[126.9794736,37.4782916],[126.9790325,37.478257],[126.9786083,37.4781545],[126.9782174,37.4779879],[126.9778748,37.4777638],[126.9775936,37.4774907],[126.9773847,37.4771792],[126.977256,37.4768411],[126.9772126,37.4764896],[126.977256,37.476138],[126.9773847,37.4758],[126.9775937,37.4754884],[126.9778748,37.4752154],[126.9782175,37.4749913],[126.9786084,37.4748248],[126.9790325,37.4747222],[126.9794736,37.4746876],[126.9799148,37.4747222],[126.9803389,37.4748248],[126.9807298,37.4749913],[126.9810724,37.4752154],[126.9813536,37.4754884],[126.9815626,37.4758],[126.9816913,37.476138],[126.9817347,37.4764896],[126.9816913,37.4768411],[126.9815626,37.4771792],[126.9813537,37.4774907],[126.9810725,37.4777638]]]}",2019-10-10,541894.978049565,198184.38387692967
2019038,2018,자전거,11590001,서울특별시 동작구1,서울특별시 동작구 사당동(파리바게뜨 이수역자이점 부근),8,8,0,1,3,4,37.48478252,126.98053610000001,"{type:Polygon,coordinates:[[[126.98233269,37.48478252],[126.98229817,37.48450439],[126.98219593,37.48423694],[126.9820299,37.48399046],[126.98180647,37.48377442],[126.98153421,37.48359712],[126.9812236,37.48346537],[126.98088657,37.48338425],[126.98053606,37.48335685],[126.98018555,37.48338425],[126.97984852,37.48346537],[126.97953791,37.48359712],[126.97926565,37.48377442],[126.97904222,37.48399046],[126.97887619,37.48423694],[126.97877395,37.48450439],[126.97873943,37.48478252],[126.97877395,37.48506065],[126.97887619,37.48532809],[126.97904222,37.48557456],[126.97926565,37.4857906],[126.97953791,37.4859679],[126.97984852,37.48609964],[126.98018555,37.48618077],[126.98053606,37.48620816],[126.98088657,37.48618077],[126.9812236,37.48609964],[126.98153421,37.4859679],[126.98180647,37.4857906],[126.9820299,37.48557456],[126.98219593,37.48532809],[126.98229817,37.48506065],[126.98233269,37.48478252]]]}",2019-10-10,542815.3605926238,198278.546773456
