표준ID,ARS-ID,정류장명,위도,경도,비고,UTM-K_위도변환,UTM-K_경도변환
100000053,1148,승가사입구,37.61158441,126.956306,,556889.5616,196142.0953
100000054,1149,구기동현대빌라,37.6100355,126.9564576,,556717.6432,196155.4009
100000055,1150,구기터널.삼성출판박물관,37.60860989,126.9562103,,556559.4262,196133.4916
100000056,1151,구기터널.삼성출판박물관,37.6083054,126.9564167,,556525.6226,196151.7005
100000057,1152,구기동,37.60696445,126.9585298,,556376.7073,196338.2163
100000058,1153,구기동,37.6070088,126.9591017,,556381.6075,196388.7168
100000059,1154,승가사입구,37.61148,126.956482,,556877.966,196157.6296
100000060,1155,갑을씨티텔앞,37.60437097,126.963535,,556088.676,196780.0595
100000061,1156,평창파출소,37.60532237,126.9660433,,556194.1879,197001.5861
100000062,1157,평창동주민센터,37.60660737,126.9695663,,556336.7022,197312.7171
100000063,1158,일성아파트,37.60876631,126.9729985,,556576.2282,197615.8479
100000064,1159,롯데아파트,37.61042956,126.9764662,,556760.7484,197922.0817
100000065,1160,롯데아파트,37.610248,126.976652,,556740.5932,197938.482
100000066,1161,벽산평창힐스아파트,37.60819,126.972797,,556512.2692,197598.0375
100000067,1162,예능교회,37.606517,126.97,,556326.6598,197351.0095
100000068,1163,서울예술고등학교.평창동주민센터,37.60577876,126.9676276,,556244.7928,197141.499
100000069,1164,화정박물관,37.60450382,126.9648103,,556103.378,196892.6768
100000376,1165,강북삼성병원,37.56814593,126.9686005,,552067.9455,197226.0104
100000072,1167,독립문역.서대문형무소역사관,37.57321269,126.9594644,,552630.6059,196419.124
100000073,1168,서대문.서울시교육청,37.56825381,126.9645273,,552080.047,196866.168
100000368,1169,서대문역사거리.적십자병원,37.56710815,126.9675878,,551952.7944,197136.5037
100000075,1171,독립문,37.57117332,126.9615633,,552404.1816,196604.4463
100000076,1172,창덕궁.서울돈화문국악당,37.57754057,126.9885394,,553110.24,198987.6402
100000077,1173,무교동,37.56924238,126.9802682,,552189.3582,198256.8192
100000078,1174,청계1가.광교,37.56868439,126.9849267,,552127.3516,198668.3586
100000079,1175,청계2가.수표교,37.56843718,126.9906742,,552099.8483,199176.1152
100000080,1176,청계4가.세운교,37.56886912,126.9964906,,552147.7535,199689.965
100000081,1177,청계5가.광장시장,37.56945128,126.9997974,,552212.3607,199982.1016
100000102,1198,원남동,37.57453251,126.9973383,,552776.3216,199764.8721
100000103,1199,창덕궁.서울돈화문국악당,37.57719464,126.9878777,,553071.853,198929.1847
100000104,1200,안국역.종로경찰서.인사동,37.5757849,126.9842426,,552915.4358,198608.0543
100000105,1201,조계사,37.57236602,126.9832244,,552535.9952,198518.0429
100000106,1202,조계사,37.57248581,126.9828259,,552549.2969,198482.8418
100000107,1203,안국동,37.57461057,126.9827201,,552785.1224,198473.5388
100000108,1204,종로5가.효제동.김상옥의거터,37.5745,127.00223,,552772.7123,200196.9927
100000109,1205,종로5가.효제초등학교,37.57287901,127.0021442,,552592.801,200189.4174
100000116,1212,종로5가,37.5705596,127.0021827,,552335.3735,200192.8245
100000117,1213,청계6가.동대문시장,37.56983511,127.0028494,,552254.9652,200251.7246
100000118,1214,동대문,37.57172624,127.0084126,,552464.888,200743.1758
100000119,1215,충신동,37.57402235,127.0062788,,552719.7149,200554.6571
100000121,1217,충신동,37.57446028,127.0063434,,552768.3205,200560.3605
100000122,1218,현대그룹빌딩,37.575873,127.000533,,552925.0973,200047.083
100000123,1219,통신대(이화장),37.578043,127.002437,,553165.945,200215.2683
100000124,1220,혜화역.마로니에공원,37.58111949,127.0022769,,553507.3997,200201.1179
100000125,1221,혜화역.서울대병원입구,37.58106363,127.0019395,,553501.1992,200171.3156
100000126,1222,통신대(이화장),37.57812967,127.0019938,,553175.5634,200176.1188
100000127,1223,이화동(이화장),37.57611936,127.0006951,,552952.4405,200061.4021
100000128,1224,창경궁.서울대학교병원,37.57882799,126.9968717,,553253.0716,199723.6697
100000129,1225,이화동(이화장),37.57593729,127.0032708,,552932.2376,200288.9288
100000130,1226,혜화동로터리,37.58576463,127.0007247,,554022.9552,200064.0086
100000131,1227,명륜동2가.성균관대입구,37.58333349,126.9993988,,553753.1262,199946.8978
100000132,1228,혜화역.서울연극센터(장면총리가옥),37.58402281,127.0013282,,553829.6335,200117.3149
100000133,1229,혜화역.동성중고(장면총리가옥),37.58456977,127.0017177,,553890.3404,200151.7169
100000135,1231,종로구민회관.창신동두산아파트,37.57409268,127.0155555,,552727.6159,201374.1417
100000139,1235,동묘역앞,37.57168496,127.0156014,,552460.3876,201378.2408
100000140,1236,동묘역앞,37.57189848,127.0158879,,552484.0901,201403.5465
101000307,1237,청계2가교차로,37.5684809,126.9878779,,552104.7289,198929.0776
100000142,1238,창신3동주민센터,37.578413,127.015178,,553207.1162,201340.7167
100000143,1239,숭인1동주민센터,37.57877205,127.0155486,,553246.972,201373.4463
100000144,1240,동묘역.롯데캐슬천지인,37.57418005,127.0158024,,552737.3166,201395.9508
100000147,1243,신설동로터리,37.57592883,127.0227802,,552931.5376,202012.3079
100000364,1245,동묘앞,37.57372922,127.0178163,,552687.3116,201573.8639
100000150,1246,구기동현대빌라,37.609682,126.956622,,556678.4018,196169.8985
100000151,1247,광장시장,37.56949631,126.9977438,,552217.3609,199800.6796
100000153,1249,혜화경찰서,37.57258074,126.9974788,,552559.6974,199777.2777
100000154,1250,서울역사박물관.김구집무실(경교장),37.56990034,126.9721318,,552262.5662,197538.041
100000155,1251,청계3가.관수교,37.56868879,126.9937794,,552127.7514,199450.4449
100000156,1252,청계6가.버들다리,37.56993039,127.0080377,,552265.5667,200710.0738
100000157,1253,청계7가.맑은내다리,37.56999753,127.0129554,,552273.067,201144.5168
100000158,1254,청계8가.영도교,37.57094659,127.0182311,,552378.4789,201610.5666
100000159,1256,원남동사거리,37.57572287,126.9982147,,552908.436,199842.2936
100000165,1262,숭인동,37.57427215,127.0204373,,552747.6176,201805.3858
100000169,1267,조계사,37.57280034,126.9831609,,552584.2007,198512.4419
100000174,1272,세종문화회관,37.57333352,126.9763658,,552643.5068,197912.1809
100000179,1277,이화동(이화장),37.576257,127.002955,,552967.7208,200261.0312
100000180,1278,상명대정문,37.60161972,126.9550207,,555783.6436,196028.0816
100000181,1279,이북오도청,37.61305032,126.9558883,,557052.2789,196105.2915
100000188,1286,상명대입구.세검정교회,37.59944351,126.9597922,,555541.9173,196449.3277
100000189,1287,상명대입구.석파랑,37.59957181,126.9581941,,555556.2188,196308.209
100000190,1288,종로중부새마을금고,37.57241749,127.0065911,,552541.5959,200582.2576
100000191,1289,신설동로터리.신한은행앞.서울풍물시장,37.5743861,127.0231183,,552760.3197,202042.2163
100000192,1291,청계2가.삼일교,37.56844587,126.9872214,,552100.8487,198871.0788
100000193,1292,청계8가.황학교,37.57213073,127.022787,,552509.9926,202013.0108
100000355,1293,평창동삼성아파트,37.610967,126.978368,,556820.358,198090.015
100000370,1294,안국역.종로경찰서.인사동,37.57633293,126.9855365,,552976.2424,198722.3616
100000369,1295,안국역.종로경찰서.인사동,37.57640118,126.9847683,,552983.8281,198654.5036
100000371,1296,창덕궁,37.57722809,126.9890031,,553075.5534,199028.5966
100000413,1297,남인사마당,37.57131917,126.9874286,,552419.749,198889.4265
100900047,1500,평창파출소,37.60568122,126.9668167,,556233.9919,197069.8923
100900178,1501,삼청공원,37.58822768,126.9816469,,554296.4839,198379.0304
100900041,1502,수성동계곡,37.58207916,126.9642468,,553614.5106,196841.9712
100900040,1503,명륜3가종점,37.59094838,126.9928637,,554598.3165,199369.7357
100900197,1504,명륜새마을금고,37.58765327,126.9967049,,554232.5777,199708.9703
100900044,1505,서대문3번출구,37.56641607,126.9662183,,551876.0243,197015.4859
100900039,1506,낙산공원,37.58040372,127.0087216,,553427.9908,200770.3837
100900037,1507,인사미술공간.세탁소,37.58141098,126.9893671,,553539.8025,199060.8028
100900036,1508,평화동물병원,37.6048012,126.9648837,,556136.3814,196899.1706
100900035,1509,금융연수원,37.5865985,126.9815692,,554115.6647,198372.1323
100900034,1510,박노수미술관,37.58099674,126.9666035,,553494.2978,197050.0924
100900032,1511,샘미용실,37.59030953,126.9932227,,554527.409,199401.4367
100900031,1512,서울국제고등학교,37.58907159,126.9972903,,554389.9935,199760.6785
100900029,1513,평화동물병원,37.60498061,126.9652008,,556156.2836,196927.1784
100900188,1514,적십자병원후문앞,37.56752954,126.9652273,,551999.6383,196927.9797
100900202,1515,서울성곽.성대후문,37.5892577,126.9896321,,554410.6967,199084.3062
100900026,1516,빨래터.고희동미술관,37.58310083,126.9889728,,553727.3606,199025.9966
100900025,1517,세검초등학교,37.60425228,126.9614908,,556075.5748,196599.5467
100900024,1518,삼청동주민센터,37.58426383,126.9819072,,553856.5371,198401.9357
100900020,1519,통인시장,37.58045307,126.9687504,,553433.8914,197239.7077
100900021,1520,양현관,37.58979142,126.9936044,,554469.9023,199435.1441
100900017,1521,국민생활관,37.58974563,126.998862,,554464.8015,199899.4924
100900016,1522,오거리,37.60706212,126.9622629,,556387.4086,196667.8503
100900015,1523,경희궁자이2.3단지,37.56878711,126.9640686,,552139.2524,196825.6668
100900013,1524,창신쌍용2단지.한성대후문,37.5812648,127.0127581,,553523.6016,201126.9169
100900045,1525,통일부,37.58759481,126.9859477,,554226.177,198758.8721
100900011,1526,원서고개,37.58308055,126.9878088,,553725.1224,198923.1832
100900009,1528,종로5가입구.혜화경찰서,37.57174724,126.9975411,,552467.1884,199782.7789
100900007,1529,삼청파출소,37.58181366,126.981251,,553584.6075,198343.9219
100900005,1530,오거리.한옥마을입구,37.57949632,126.9695411,,553327.6801,197309.5161
100900046,1531,명륜시장.성대후문,37.58851105,126.9952543,,554327.787,199580.8552
100900003,1532,혜화초등학교,37.58725323,126.9998517,,554188.1727,199986.9018
100900072,1533,청련사입구,37.60798038,126.9624312,,556489.3194,196682.7518
100900071,1534,영천시장,37.57000501,126.9628352,,552274.4675,196716.7565
100900070,1535,명신초.삼선푸르지오.힐스테이트,37.58210621,127.0145563,,553617.0115,201285.7366
100900069,1536,감사원,37.58621065,126.9852901,,554072.5598,198700.7675
100900068,1537,중앙중고,37.58309218,126.9869653,,553726.4232,198848.6793
100900067,1538,인왕빌딩,37.60792833,126.9577443,,556483.7184,196268.9055
100900066,1539,종로4가.종묘공원,37.57063281,126.9944624,,552343.5112,199510.7969
100900174,1540,국립민속박물관,37.57925518,126.9795534,,553300.6768,198193.913
100900065,1541,광화문새마을금고,37.57936877,126.9711466,,553313.4788,197451.3282
100900064,1542,새마을금고,37.58773706,126.9965181,,554241.878,199692.4721
100900063,1543,혜화우체국,37.58603766,127.0006137,,554053.2583,200054.2044
100900062,1544,언덕앞,37.60895398,126.9637922,,556597.3312,196802.967
100900061,1545,경희궁자이4단지,37.57070222,126.9621148,,552351.8751,196653.1455
100900060,1546,종로센트레빌후문.e편한세상보문아파트,37.58177439,127.0161855,,553580.2069,201429.6478
100900059,1547,사우디대사관앞.경남빌라,37.58410567,126.9850312,,553838.9345,198677.8632
100900058,1548,안국선원.삼거리,37.58279098,126.9849941,,553693.0195,198674.563
100900182,1549,구기터널입구,37.60820461,126.9567769,,556514.4213,196183.5001
100900057,1550,종로3가.1.3.5호선,37.57107299,126.9921807,,552392.3804,199309.2308
100900056,1551,경복궁,37.57695016,126.9793378,,553044.8502,198174.8124
100900055,1552,경복궁역,37.57667748,126.9722765,,553014.7465,197551.0461
100900054,1553,소나무집,37.61127707,126.9641105,,556855.1581,196831.1704
100900186,1554,독립문역3번출구,37.57287848,126.9597453,,552593.5018,196443.9226
100900053,1555,청룡사.보문파크뷰자이아파트,37.58001895,127.0170071,,553385.3859,201502.2541
100900052,1556,북촌한옥마을입구.정세권활동터,37.58159973,126.9849422,,553560.805,198669.9576
100900217,1557,종로1.2.3.4가동주민센터,37.57438371,126.9911314,,552759.8401,199216.5687
100900051,1558,창덕궁,37.57608925,126.99062,,552949.1398,199171.4117
100900050,1561,아름다운실버,37.61201006,126.9654637,,556936.4672,196950.6799
100900049,1562,독립문초등학교,37.57384748,126.9607207,,552701.0131,196530.1338
100900206,1563,종로센트레빌아파트,37.58035344,127.0156927,,553422.4903,201386.1456
100900048,1564,가회동주민센터,37.57993901,126.9848497,,553376.4854,198661.7575
100900097,1565,문방구,37.60626861,126.9579797,,556299.4983,196289.6084
100900096,1566,원남로터리,37.57623737,126.9975115,,552965.5409,199780.1772
100900095,1567,보현산신각,37.61348252,126.9657791,,557099.8841,196978.5871
100900094,1568,천사유치원,37.57464802,126.9618604,,552789.8223,196630.849
100900093,1569,쌍용아파트입구.창신역,37.58051123,127.0149636,,553439.9927,201321.741
