순번,상태,험프관리번호,고가,유형,구경찰서코드,구코드,신경찰서코드,작업구분,표출구분,도로구분,관할사업소,신규정규화ID,설치일,교체일,이력ID,공사관리번호,험프관리번호.1,공사형태,위도,경도,UTM-K_위도변환,UTM-K_경도변환
5495,1,16-0000002727,1,1,220,590,220,1,2,2,105,'','','',6877,2000-0000-000,16-002727,'',37.4683112,126.9071991,540991.1313,191790.5717
6178,1,16-0000006266,1,2,220,590,220,1,2,2,105,'','','',5584,2006-1108-218,16-006266,1,37.4995522,127.0540232,544455.7945,204777.0542
5193,1,16-0000002978,1,1,220,590,220,1,2,2,105,'','','',5579,2000-0000-000,16-002978,'',37.4871724,126.905952,543084.5822,191682.3404
5930,1,16-0000004634,1,2,380,590,220,1,2,2,105,'','','',7005,2000-0000-000,16-004634,'',37.4805327,126.9650083,542344.0842,196905.0402
5931,1,16-0000004635,1,2,380,590,220,1,2,2,105,'','','',7006,2000-0000-000,16-004635,'',37.5620943,127.1505785,551406.4796,213303.941
5293,1,16-0000008388,1,2,220,590,220,1,2,2,105,'','','',10943,2000-0000-000,16-008388,'',37.4961767,126.9284636,544082.1908,193674.0391
5294,1,16-0000008390,1,2,220,590,220,1,2,2,105,'','','',10945,2000-0000-000,16-008390,'',37.5676799,126.9463547,552017.1109,195260.6751
5295,1,16-0000008391,1,2,220,590,220,1,2,2,105,'','','',10946,2000-0000-000,16-008391,'',37.5545256,127.0944243,550559.9767,208343.4366
5296,1,16-0000008393,1,2,220,590,220,1,2,2,105,'','','',10948,2000-0000-000,16-008393,'',37.4976018,127.0325868,544238.4533,202881.5945
5297,1,16-0000008395,1,2,220,590,220,1,2,2,105,'','','',10950,2000-0000-000,16-008395,'',37.4925531,127.0339416,543678.1558,203001.5991
5326,1,16-0000006863,1,1,220,590,220,1,2,2,105,'','','',6479,4,16-006863,4,37.563489,127.0102927,551550.6672,200909.3654
5674,1,16-0000006860,1,1,220,590,220,1,2,2,105,'','','',6403,5,16-006860,5,37.5213375,126.8347163,546885.1494,185388.87
5675,1,16-0000006861,1,1,220,590,220,1,2,2,105,'','','',6404,5,16-006861,5,37.5215879,126.8340281,546913.0478,185328.0819
5676,1,16-0000006862,1,1,220,590,220,1,2,2,105,'','','',6405,4,16-006862,4,37.5948352,127.0087078,555029.7217,200769.0162
6069,1,16-0000006853,1,2,220,590,220,1,2,2,105,'','','',7148,2000-0000-000,16-006853,'',37.6664091,127.0797557,562976.63,207036.7532
5391,1,16-0000007888,1,1,380,590,220,3,2,2,105,'','','',11103,1,16-007888,1,37.4982813,126.919229,544316.4347,192857.6241
5392,1,16-0000007889,1,1,380,590,220,3,2,2,105,'','','',11104,5,16-007889,5,37.4982614,126.9195211,544314.2039,192883.4519
6079,1,16-0000004246,1,2,380,590,220,1,2,2,105,'','','',6421,2000-0000-000,16-004246,'',37.4849531,126.9675826,542834.6084,197132.9019
6422,1,16-0000005627,1,2,380,590,220,1,2,2,105,'','','',7010,2004-0508-013,16-005627,1,37.6237309,127.089701,558240.5778,207918.7451
6426,1,16-0000006758,1,1,220,590,220,1,2,2,105,'','','',6909,5,16-006758,5,37.5220598,127.13747,546961.3592,212152.2719
9413,1,16-0000002970,1,1,220,590,220,1,2,2,105,'','','',11989,2006-1108-042,16-002970,1,37.5810709,126.9043029,553506.3096,191547.0976
9422,1,16-0000002967,1,1,220,590,220,1,2,2,105,'','','',11994,2006-1108-042,16-002967,1,37.6197792,126.9332695,557800.2913,194108.7639
9449,1,16-0000007876,1,1,220,590,220,1,2,2,105,'','','',9945,5,16-007876,5,37.5626423,127.0543913,551458.0342,204805.5543
9450,1,16-0000007878,1,1,220,590,220,3,2,2,105,'','','',9947,5,16-007878,5,37.5626439,127.0542512,551458.2047,204793.1762
9229,1,16-0000007872,1,2,220,590,220,3,2,2,105,'','','',9941,5,16-007872,5,37.4992389,126.9128984,544423.2151,192297.9234
9230,1,16-0000007874,1,1,220,590,220,3,2,2,105,'','','',9943,5,16-007874,5,37.5671811,127.1711226,551974.1617,215118.0307
9231,1,16-0000007875,1,1,220,590,220,3,2,2,105,'','','',9944,5,16-007875,5,37.5659565,127.1721173,551838.4058,215206.1576
9242,1,16-0000007868,1,1,380,590,220,3,2,2,105,'','','',9937,5,16-007868,5,37.4992477,126.9142465,544424.0823,192417.1319
9246,1,16-0000008389,1,2,220,590,220,1,2,2,105,'','','',10944,2000-0000-000,16-008389,'',37.4960713,126.9283697,544070.499,193665.7266
9254,1,16-0000008369,1,2,220,590,220,1,2,2,105,'','','',11711,4,16-008369,4,37.5244718,126.8388441,547232.3846,185754.365
9259,1,16-0000005301,1,2,220,590,220,1,2,2,105,'','','',11401,2000-0000-000,16-005301,'',37.4768421,126.8996347,541938.6327,191122.4125
9270,1,16-0000002949,1,1,220,590,220,1,2,2,105,'','','',10330,2000-0000-000,16-002949,'',37.4971467,126.8287282,544201.2237,184854.6329
9279,1,16-0000007871,1,1,380,590,220,3,2,2,105,'','','',9940,5,16-007871,5,37.4995715,126.9131342,544460.1101,192318.8084
9244,1,16-0000006060,1,2,220,590,220,1,2,2,105,'','','',11990,2006-1108-042,16-006060,1,37.5948107,127.0763858,555029.7102,206745.8994
9253,1,16-0000008381,1,2,220,590,220,1,2,2,105,'','','',11710,4,16-008381,4,37.5149681,127.0519625,546166.6592,204593.89
9269,1,16-0000006011,1,2,220,590,220,1,2,2,105,'','','',10329,2005-0108-160,16-006011,1,37.4974159,126.8286633,544231.1119,184848.9482
9307,1,16-0000002240,1,1,220,590,220,1,2,2,105,'','','',11987,2000-0000-000,16-002240,'',37.5232714,127.0455577,547087.9275,204027.2094
